text,lemma,pos,dep
When,when,ADV,advmod
Sebastian,Sebastian,PROPN,compound
Thrun,Thrun,PROPN,nsubj
started,start,VERB,advcl
working,work,VERB,xcomp
on,on,ADP,prep
self,self,NOUN,npadvmod
-,-,PUNCT,punct
driving,drive,VERB,amod
cars,car,NOUN,pobj
at,at,ADP,prep
Google,Google,PROPN,pobj
in,in,ADP,prep
2007,2007,NUM,pobj
",",",",PUNCT,punct
few,few,ADJ,amod
people,people,NOUN,nsubj
outside,outside,ADP,prep
of,of,ADP,prep
the,the,DET,det
company,company,NOUN,pobj
took,take,VERB,ROOT
him,he,PRON,dobj
seriously,seriously,ADV,advmod
.,.,PUNCT,punct
“,"""",PUNCT,punct
I,I,PRON,nsubj
can,can,AUX,aux
tell,tell,VERB,ccomp
you,you,PRON,dative
very,very,ADV,advmod
senior,senior,ADJ,amod
CEOs,ceo,NOUN,dobj
of,of,ADP,prep
major,major,ADJ,amod
American,american,ADJ,amod
car,car,NOUN,compound
companies,company,NOUN,pobj
would,would,AUX,aux
shake,shake,VERB,ccomp
my,my,PRON,poss
hand,hand,NOUN,dobj
and,and,CCONJ,cc
turn,turn,VERB,conj
away,away,ADV,advmod
because,because,SCONJ,mark
I,I,PRON,nsubj
was,be,VERB,advcl
n’t,n’t,PART,neg
worth,worth,ADJ,acomp
talking,talk,VERB,xcomp
to,to,ADP,prep
",",",",PUNCT,punct
”,"""",PUNCT,punct
said,say,VERB,ROOT
Thrun,Thrun,PROPN,nsubj
",",",",PUNCT,punct
in,in,ADP,prep
an,an,DET,det
interview,interview,NOUN,pobj
with,with,ADP,prep
Recode,Recode,PROPN,pobj
earlier,early,ADV,advmod
this,this,DET,det
week,week,NOUN,npadvmod
.,.,PUNCT,punct
